Area_code,Area_name,Total initial assessments,Total owed a prevention or relief duty,Total owed a relief duty,Total owed a prevention duty,Total,,White: English / Welsh / Scottish / Northern Irish / British,,White: Irish,,White: Gypsy or Irish Traveller,,Any other White ethnic group,,Total,,Black / African / Caribbean / Black British: African,,Black / African / Caribbean / Black British: Caribbean,,Any other Black / African / Caribbean background,,Total,,Asian / Asian British: Pakistani,,Asian / Asian British: Indian,,Asian / Asian British: Bangladeshi,,Asian / Asian British: Chinese,,Any other Asian background,,Total,,Mixed / Multiple ethnic groups: White and Black Caribbean,,Mixed / Multiple ethnic groups: White and Black African,,Mixed / Multiple ethnic groups: White and Asian,,Any other Mixed / Multiple ethnic background,,Total,,Other ethnic group: Arab,,Any other ethnic group,,Not known,,Heterosexual / Straight,Homosexual (Gay/Lesbian),Other,Prefer not to say,Not known,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired,Other,Not known,UK,,Ireland,,"A8, A2 &
 Croatia(A8: Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Slovakia, and Slovenia, A2: Bulgaria and Romania)",,"Other EEA(Austria, Belgium, Cyprus, Denmark, Finland, France, Germany, Greece, Iceland, Italy, Liechtenstein, Luxembourg, Malta, Netherlands, Norway, Portugal, Spain, Sweden, and Switzerland)",,Non-EEA,,Not known,,16-17,%,18-24,%,25-34,%,35-44,%,45-54,%,55-64,%,65-74,%,75+,%,Not known1,%,Single parent with dependent children male,,Single parent with dependent children female,,Single parent with dependent children other gender,,Single adult male,,Single adult female,,Single adult male other gender,,Couple / two adults with dependent children,,Couple / two adults without dependent children,,Three or more adults with dependent children,,Three or more adults without dependent children,,Not known,,Total owed a relief duty,Total Private rented sector,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),Total Social rented sector,"Council 
tenant",Registered provider tenant,Supported housing / hostel,Owner-occupier / shared ownership,Living with family,Living with friends,Temporary accommodation,"No fixed
 abode3","Rough
 sleeping",Refuge,National Asylum Seeker Support (NASS) accommodation,Total homeless on departure from institution,Custody,"General 
hospital",Psychiatric hospital,Other / not known
E12000007,London,"54,890","51,760","27,770","23,990","16,030",0.31 ,"11,380",0.22 ,470,0.01 ,110,0.00 ,"4,070",0.08 ,"15,620",0.30 ,"9,230",0.18 ,"4,890",0.09 ,"1,500",0.03 ,"5,890",0.11 ,"1,160",0.02 ,"1,040",0.02 ,"1,770",0.03 ,160,0.00 ,"1,770",0.03 ,"3,260",0.06 ,"1,500",0.03 ,620,0.01 ,230,0%,910,0.02 ,"4,640",0.09 ,"1,030",0.02 ,"3,600",0.07 ,"6,340",0.12 ,"35,680","1,100","1,780","9,990","3,210","6,060","6,060","1,020","18,030","2,880","3,390","4,730",820,"3,480","5,290","37,350",72%,240,0%,"1,780",0.03 ,"3,010",0.06 ,"6,730",0.13 ,"2,650",0.05 ,290,0.01 ,"10,060",0.19 ,"16,610",0.32 ,"11,920",0.23 ,"7,420",0.14 ,"3,850",0.07 ,"1,140",0.02 ,330,0.01 ,150,0.00 ,"1,100",0.05 ,"11,500",0.45 ,320,0.01 ,"19,770",0.75 ,"12,650",0.49 ,630,0.02 ,3120,0.13 ,1860,0.07 ,390,0.01 ,380,0.01 ,30,0.00 ,51760,10960,8310,1890,760,4020,1510,1050,1450,240,16580,5650,1890,3260,2460,790,460,2050,1280,370,400,3430
E12000008,South East,"40,620","37,800","20,460","17,350","29,780",0.79 ,"27,720",0.73 ,250,0.01 ,210,0.01 ,"1,610",0.04 ,"1,750",0.05 ,"1,070",0.03 ,450,0.01 ,230,0.01 ,"1,420",0.04 ,560,0.01 ,300,0.01 ,150,0.00 ,50,0.00 ,370,0.01 ,950,0.03 ,470,0.01 ,200,0.01 ,120,0%,150,0.00 ,600,0.02 ,190,0.01 ,410,0.01 ,"3,320",0.09 ,"26,420",540,"1,250","9,260",330,"4,920","3,980",350,"13,390","1,850","3,470","5,370",930,"1,560","1,990","34,010",90%,90,0%,"1,170",0.03 ,750,0.02 ,"1,400",0.04 ,390,0.01 ,200,0.01 ,"8,320",0.22 ,"11,560",0.31 ,"8,470",0.22 ,"5,290",0.14 ,"2,660",0.07 ,920,0.02 ,360,0.01 ,20,0.00 ,860,0.05 ,"7,360",0.41 ,40,0.00 ,"16,500",0.85 ,"8,020",0.43 ,140,0.00 ,2300,0.13 ,2130,0.11 ,210,0.01 ,240,0.01 ,30,0.00 ,37810,7480,6100,740,660,3170,740,1150,1290,320,9480,3780,1050,5360,2150,540,30,1600,1080,270,260,2840
E12000009,South West,"28,660","27,430","15,520","11,910","23,130",0.84 ,"21,970",0.80 ,170,0.01 ,90,0.00 ,910,0.03 ,760,0.03 ,480,0.02 ,200,0.01 ,80,0.00 ,310,0.01 ,70,0.00 ,50,0.00 ,60,0.00 ,20,0.00 ,120,0.00 ,420,0.02 ,220,0.01 ,80,0.00 ,50,0%,70,0.00 ,290,0.01 ,90,0.00 ,200,0.01 ,"2,520",0.09 ,"18,890",350,950,"7,220",10,"3,200","2,850",510,"8,330","1,320","2,380","5,660",860,"1,120","1,190","24,760",90%,40,0%,720,0.03 ,390,0.01 ,690,0.03 ,840,0.03 ,520,0.02 ,"5,900",0.22 ,"8,340",0.30 ,"5,820",0.21 ,"3,740",0.14 ,"1,990",0.07 ,750,0.03 ,370,0.01 ,0,0.00 ,620,0.05 ,"4,420",0.34 ,10,0.00 ,"12,990",0.92 ,"6,090",0.45 ,90,0.00 ,1370,0.10 ,1590,0.12 ,110,0.01 ,130,0.01 ,0,0.00 ,27430,5540,4440,650,450,2700,480,930,1290,410,6600,2850,330,3650,1660,270,80,1380,1050,170,160,1960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000223,Adur,142,139,97,42,128,0.92 ,124,0.89 ,0,0.00 ,1,0.01 ,3,0.02 ,4,0.03 ,3,0.02 ,0,0.00 ,1,0.01 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,1,0.01 ,1,0.01 ,0,0.00 ,0,0%,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,6,0.04 ,118,4,2,15,0,22,17,0,30,4,24,39,2,1,0,134,96%,0,0%,3,0.02 ,1,0.01 ,1,0.01 ,0,0.00 ,0,0.00 ,31,0.22 ,39,0.28 ,38,0.27 ,16,0.12 ,13,0.09 ,1,0.01 ,1,0.01 ,0,0.00 ,5,0.06 ,38,0.65 ,0,0.00 ,46,0.54 ,26,0.37 ,4,0.04 ,11,0.17 ,8,0.15 ,0,0.00 ,1,0.02 ,0,0.00 ,139,27,23,1,3,9,5,2,2,1,41,22,13,5,15,1,0,3,3,0,0,2
E07000026,Allerdale,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
E07000032,Amber Valley,397,397,141,256,381,0.96 ,376,0.95 ,1,0.00 ,1,0.00 ,3,0.01 ,9,0.02 ,6,0.02 ,1,0.00 ,2,0.01 ,2,0.01 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,2,0.01 ,3,0.01 ,3,0.01 ,0,0.00 ,0,0%,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,2,0.01 ,356,7,7,27,0,36,34,1,168,13,30,90,6,17,2,387,97%,0,0%,3,0.01 ,1,0.00 ,6,0.02 ,0,0.00 ,0,0.00 ,99,0.25 ,132,0.33 ,79,0.20 ,52,0.13 ,28,0.07 ,4,0.01 ,3,0.01 ,0,0.00 ,11,0.06 ,80,0.36 ,1,0.00 ,167,0.91 ,80,0.41 ,1,0.01 ,34,0.15 ,19,0.08 ,1,0.00 ,3,0.01 ,0,0.00 ,397,83,78,3,2,31,4,11,16,4,100,62,10,39,23,6,0,11,5,2,4,28
E07000224,Arun,604,578,287,291,549,0.95 ,522,0.90 ,3,0.01 ,2,0.00 ,22,0.04 ,7,0.01 ,5,0.01 ,2,0.00 ,0,0.00 ,4,0.01 ,0,0.00 ,1,0.00 ,1,0.00 ,0,0.00 ,2,0.00 ,4,0.01 ,2,0.00 ,0,0.00 ,1,0%,1,0.00 ,2,0.00 ,0,0.00 ,2,0.00 ,12,0.02 ,454,6,12,106,0,66,66,3,176,18,44,155,16,27,7,542,94%,0,0%,27,0.05 ,5,0.01 ,3,0.01 ,1,0.00 ,1,0.00 ,132,0.23 ,167,0.29 ,119,0.21 ,100,0.17 ,40,0.07 ,15,0.03 ,4,0.01 ,0,0.00 ,19,0.06 ,117,0.40 ,4,0.02 ,223,0.77 ,124,0.43 ,1,0.00 ,36,0.13 ,49,0.17 ,4,0.01 ,1,0.00 ,0,0.00 ,578,141,99,24,18,29,6,10,13,6,181,39,14,77,24,3,0,18,8,3,7,46
E07000170,Ashfield,348,348,224,124,319,0.92 ,285,0.82 ,0,0.00 ,0,0.00 ,34,0.10 ,5,0.01 ,2,0.01 ,3,0.01 ,0,0.00 ,2,0.01 ,0,0.00 ,1,0.00 ,0,0.00 ,0,0.00 ,1,0.00 ,1,0.00 ,1,0.00 ,0,0.00 ,0,0%,0,0.00 ,2,0.01 ,0,0.00 ,2,0.01 ,19,0.05 ,114,5,6,223,0,46,42,1,168,1,21,30,7,13,19,333,96%,3,1%,9,0.03 ,2,0.01 ,1,0.00 ,0,0.00 ,0,0.00 ,101,0.29 ,105,0.30 ,74,0.21 ,42,0.12 ,18,0.05 ,7,0.02 ,1,0.00 ,0,0.00 ,9,0.05 ,91,0.56 ,0,0.00 ,120,0.64 ,86,0.48 ,0,0.00 ,22,0.14 ,19,0.12 ,1,0.01 ,0,0.00 ,0,0.00 ,348,57,55,1,1,9,5,2,2,7,101,27,3,99,13,5,1,10,8,2,0,16
E07000105,Ashford,569,562,261,301,487,0.87 ,459,0.82 ,7,0.01 ,3,0.01 ,18,0.03 ,25,0.04 ,17,0.03 ,6,0.01 ,2,0.00 ,8,0.01 ,1,0.00 ,0,0.00 ,2,0.00 ,1,0.00 ,4,0.01 ,11,0.02 ,4,0.01 ,7,0.01 ,0,0%,0,0.00 ,8,0.01 ,6,0.01 ,2,0.00 ,23,0.04 ,448,6,26,82,0,61,77,10,210,25,58,62,14,37,8,510,91%,3,1%,13,0.02 ,10,0.02 ,26,0.05 ,0,0.00 ,7,0.01 ,152,0.27 ,190,0.34 ,104,0.19 ,67,0.12 ,25,0.04 ,11,0.02 ,6,0.01 ,0,0.00 ,10,0.04 ,141,0.49 ,0,0.00 ,211,0.77 ,110,0.40 ,1,0.00 ,41,0.14 ,38,0.13 ,5,0.01 ,5,0.01 ,0,0.00 ,562,102,79,13,10,26,12,0,14,13,147,76,9,105,26,4,0,14,12,2,0,40
