Area_code,Area_name,Total initial assessments,Total owed a prevention or relief duty,Total owed a relief duty,Total owed a prevention duty,Total,,White: English / Welsh / Scottish / Northern Irish / British,,White: Irish,,White: Gypsy or Irish Traveller,,Any other White ethnic group,,Total,,Black / African / Caribbean / Black British: African,,Black / African / Caribbean / Black British: Caribbean,,Any other Black / African / Caribbean background,,Total,,Asian / Asian British: Pakistani,,Asian / Asian British: Indian,,Asian / Asian British: Bangladeshi,,Asian / Asian British: Chinese,,Any other Asian background,,Total,,Mixed / Multiple ethnic groups: White and Black Caribbean,,Mixed / Multiple ethnic groups: White and Black African,,Mixed / Multiple ethnic groups: White and Asian,,Any other Mixed / Multiple ethnic background,,Total,,Other ethnic group: Arab,,Any other ethnic group,,Not known,,Heterosexual / Straight,Homosexual (Gay/Lesbian),Other,Prefer not to say,Not known,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired,Other,Not known,UK,,Ireland,,"A8, A2 &
 Croatia(A8: Czech Republic, Estonia, Hungary, Latvia, Lithuania, Poland, Slovakia, and Slovenia, A2: Bulgaria and Romania)",,"Other EEA(Austria, Belgium, Cyprus, Denmark, Finland, France, Germany, Greece, Iceland, Italy, Liechtenstein, Luxembourg, Malta, Netherlands, Norway, Portugal, Spain, Sweden, and Switzerland)",,Non-EEA,,Not known,,16-17,%,18-24,%,25-34,%,35-44,%,45-54,%,55-64,%,65-74,%,75+,%,Not known1,%,Single parent with dependent children male,,Single parent with dependent children female,,Single parent with dependent children other gender,,Single adult male,,Single adult female,,Single adult male other gender,,Couple / two adults with dependent children,,Couple / two adults without dependent children,,Three or more adults with dependent children,,Three or more adults without dependent children,,Not known,,Total owed a relief duty,Total Private rented sector,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),Total Social rented sector,"Council 
tenant",Registered provider tenant,Supported housing / hostel,Owner-occupier / shared ownership,Living with family,Living with friends,Temporary accommodation,"No fixed
 abode3","Rough
 sleeping",Refuge,National Asylum Seeker Support (NASS) accommodation,Total homeless on departure from institution,Custody,"General 
hospital",Psychiatric hospital,Other / not known
E06000016,Leicester,"2,490","2,428","1,267","1,161","1,270",0.52 ,"1,183",0.49 ,9,0.00 ,5,0.00 ,73,0.03 ,328,0.14 ,224,0.09 ,55,0.02 ,49,0.02 ,448,0.18 ,52,0.02 ,287,0.12 ,25,0.01 ,5,0.00 ,79,0.03 ,120,0.05 ,69,0.03 ,12,0.00 ,12,0%,27,0.01 ,145,0.06 ,46,0.02 ,99,0.04 ,117,0.05 ,"2,083",33,64,244,4,255,225,19,"1,141",59,172,261,18,36,242,"1,895",78%,5,0%,79,0.03 ,135,0.06 ,312,0.13 ,2,0.00 ,21,0.01 ,512,0.21 ,784,0.32 ,631,0.26 ,334,0.14 ,115,0.05 ,25,0.01 ,6,0.00 ,0,0.00 ,44,0.04 ,474,0.40 ,34,0.03 ,"1,059",0.85 ,412,0.34 ,144,0.12 ,139,0.12 ,75,0.06 ,27,0.02 ,20,0.01 ,0,0.00 ,2428,386,338,40,8,123,22,40,61,14,699,325,72,353,91,35,70,210,174,15,21,50
E07000063,Lewes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
E09000023,Lewisham,"3,166","3,148","1,318","1,830",859,0.27 ,701,0.22 ,5,0.00 ,2,0.00 ,151,0.05 ,"1,424",0.45 ,627,0.20 ,768,0.24 ,29,0.01 ,115,0.04 ,17,0.01 ,17,0.01 ,8,0.00 ,9,0.00 ,64,0.02 ,140,0.04 ,66,0.02 ,29,0.01 ,6,0%,39,0.01 ,186,0.06 ,17,0.01 ,169,0.05 ,424,0.13 ,"2,664",80,41,321,42,424,407,99,"1,268",125,167,337,46,155,120,"2,423",77%,6,0%,82,0.03 ,38,0.01 ,439,0.14 ,160,0.05 ,56,0.02 ,752,0.24 ,967,0.31 ,649,0.21 ,429,0.14 ,215,0.07 ,54,0.02 ,20,0.01 ,6,0.00 ,63,0.04 ,474,0.29 ,1,0.00 ,"1,370",0.91 ,"1,104",0.68 ,4,0.00 ,68,0.05 ,44,0.03 ,9,0.00 ,4,0.00 ,7,0.00 ,3148,486,339,105,42,177,66,40,71,8,942,446,150,348,172,29,19,97,20,33,44,274
E07000194,Lichfield,262,261,139,122,244,0.93 ,235,0.90 ,1,0.00 ,0,0.00 ,8,0.03 ,3,0.01 ,0,0.00 ,3,0.01 ,0,0.00 ,5,0.02 ,2,0.01 ,1,0.00 ,0,0.00 ,1,0.00 ,1,0.00 ,7,0.03 ,4,0.02 ,1,0.00 ,1,0%,1,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,2,0.01 ,193,2,11,55,0,32,25,4,51,3,41,47,10,7,41,252,97%,1,0%,6,0.02 ,1,0.00 ,1,0.00 ,0,0.00 ,2,0.01 ,58,0.22 ,77,0.30 ,43,0.16 ,47,0.18 ,17,0.07 ,12,0.05 ,5,0.02 ,0,0.00 ,6,0.04 ,53,0.42 ,1,0.01 ,108,0.82 ,60,0.45 ,0,0.00 ,13,0.10 ,19,0.15 ,0,0.00 ,1,0.01 ,0,0.00 ,261,60,46,8,6,35,8,20,7,23,78,13,0,15,3,5,0,13,9,1,3,16
E07000138,Lincoln,626,621,459,162,574,0.92 ,524,0.84 ,4,0.01 ,0,0.00 ,46,0.07 ,1,0.00 ,0,0.00 ,1,0.00 ,0,0.00 ,1,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,1,0.00 ,3,0.00 ,2,0.00 ,0,0.00 ,0,0%,1,0.00 ,5,0.01 ,0,0.00 ,5,0.01 ,37,0.06 ,411,1,12,197,0,50,52,14,197,86,47,99,12,28,36,580,93%,0,0%,32,0.05 ,6,0.01 ,3,0.00 ,0,0.00 ,4,0.01 ,157,0.25 ,216,0.35 ,128,0.21 ,73,0.12 ,30,0.05 ,9,0.01 ,4,0.01 ,0,0.00 ,18,0.06 ,113,0.41 ,0,0.00 ,288,0.85 ,147,0.46 ,0,0.00 ,25,0.11 ,26,0.10 ,2,0.01 ,2,0.01 ,0,0.00 ,621,66,55,7,4,91,13,4,74,6,139,54,35,103,34,13,0,56,33,10,13,24
E08000012,Liverpool,"1,260","1,239","1,024",215,674,0.54 ,651,0.53 ,6,0.00 ,2,0.00 ,15,0.01 ,33,0.03 ,23,0.02 ,0,0.00 ,10,0.01 ,33,0.03 ,11,0.01 ,2,0.00 ,1,0.00 ,6,0.00 ,13,0.01 ,13,0.01 ,5,0.00 ,5,0.00 ,0,0%,3,0.00 ,79,0.06 ,31,0.03 ,48,0.04 ,407,0.33 ,859,21,39,320,0,72,67,9,405,18,133,383,9,129,14,"1,061",86%,6,0%,36,0.03 ,13,0.01 ,123,0.10 ,0,0.00 ,8,0.01 ,218,0.18 ,393,0.32 ,366,0.30 ,189,0.15 ,51,0.04 ,11,0.01 ,3,0.00 ,0,0.00 ,22,0.05 ,301,0.59 ,0,0.00 ,523,0.68 ,252,0.36 ,0,0.00 ,69,0.15 ,49,0.10 ,10,0.03 ,13,0.04 ,0,0.00 ,1239,216,196,16,4,78,2,31,45,4,273,139,44,170,73,22,60,60,29,12,19,100
E06000032,Luton,"1,625","1,444","1,096",348,624,0.43 ,498,0.34 ,13,0.01 ,7,0.00 ,106,0.07 ,281,0.19 ,128,0.09 ,134,0.09 ,19,0.01 ,338,0.23 ,200,0.14 ,17,0.01 ,92,0.06 ,0,0.00 ,29,0.02 ,48,0.03 ,16,0.01 ,6,0.00 ,19,1%,7,0.00 ,30,0.02 ,26,0.02 ,4,0.00 ,123,0.09 ,"1,280",11,18,134,1,162,135,40,864,84,39,69,12,30,9,"1,173",81%,8,1%,67,0.05 ,59,0.04 ,137,0.09 ,0,0.00 ,0,0.00 ,322,0.22 ,484,0.34 ,353,0.24 ,203,0.14 ,68,0.05 ,12,0.01 ,2,0.00 ,0,0.00 ,21,0.03 ,288,0.43 ,0,0.00 ,652,0.78 ,290,0.40 ,1,0.00 ,106,0.21 ,62,0.10 ,14,0.03 ,10,0.02 ,0,0.00 ,1444,290,221,48,21,205,35,14,156,11,470,144,12,137,32,19,10,80,56,10,14,34
E07000110,Maidstone,"1,193",871,334,537,784,0.90 ,707,0.81 ,10,0.01 ,15,0.02 ,52,0.06 ,35,0.04 ,23,0.03 ,8,0.01 ,4,0.00 ,20,0.02 ,0,0.00 ,5,0.01 ,3,0.00 ,0,0.00 ,12,0.01 ,14,0.02 ,10,0.01 ,4,0.00 ,0,0%,0,0.00 ,12,0.01 ,2,0.00 ,10,0.01 ,6,0.01 ,777,23,26,45,0,132,98,5,297,42,96,111,26,40,24,782,90%,2,0%,39,0.04 ,10,0.01 ,38,0.04 ,0,0.00 ,12,0.01 ,193,0.22 ,284,0.33 ,173,0.20 ,119,0.14 ,59,0.07 ,26,0.03 ,5,0.01 ,0,0.00 ,18,0.04 ,199,0.44 ,0,0.00 ,352,0.85 ,194,0.43 ,3,0.01 ,48,0.10 ,51,0.12 ,4,0.01 ,2,0.00 ,0,0.00 ,871,129,102,16,11,135,7,95,33,9,247,113,13,67,42,16,2,60,45,4,11,38
E07000074,Maldon,173,172,75,97,165,0.96 ,162,0.94 ,2,0.01 ,0,0.00 ,1,0.01 ,1,0.01 ,1,0.01 ,0,0.00 ,0,0.00 ,1,0.01 ,0,0.00 ,0,0.00 ,1,0.01 ,0,0.00 ,0,0.00 ,1,0.01 ,0,0.00 ,1,0.01 ,0,0%,0,0.00 ,4,0.02 ,0,0.00 ,4,0.02 ,0,0.00 ,150,3,2,17,0,19,20,1,65,2,26,19,10,9,1,171,99%,0,0%,0,0.00 ,0,0.00 ,1,0.01 ,0,0.00 ,3,0.02 ,40,0.23 ,39,0.23 ,39,0.23 ,24,0.14 ,16,0.09 ,6,0.03 ,5,0.03 ,0,0.00 ,5,0.06 ,30,0.34 ,0,0.00 ,71,0.87 ,42,0.48 ,1,0.01 ,12,0.13 ,10,0.11 ,1,0.01 ,0,0.00 ,0,0.00 ,172,28,24,2,2,17,4,12,1,2,51,16,0,20,2,2,0,2,2,0,0,32
E07000235,Malvern Hills,167,161,89,72,157,0.98 ,152,0.94 ,0,0.00 ,1,0.01 ,4,0.02 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,1,0.01 ,0,0.00 ,0,0.00 ,1,0.01 ,0,0.00 ,0,0.00 ,2,0.01 ,1,0.01 ,0,0.00 ,0,0%,1,0.01 ,0,0.00 ,0,0.00 ,0,0.00 ,1,0.01 ,140,5,8,8,0,35,21,1,63,5,5,20,3,6,2,157,98%,0,0%,4,0.02 ,0,0.00 ,0,0.00 ,0,0.00 ,4,0.02 ,44,0.27 ,39,0.24 ,29,0.18 ,19,0.12 ,21,0.13 ,4,0.02 ,1,0.01 ,0,0.00 ,7,0.08 ,27,0.34 ,0,0.00 ,73,0.90 ,40,0.50 ,2,0.02 ,3,0.04 ,7,0.10 ,0,0.00 ,2,0.02 ,0,0.00 ,161,28,21,5,2,14,5,7,2,3,67,16,0,11,0,1,0,3,2,0,1,18
E08000003,Manchester,"5,836","5,772","3,645","2,127","3,158",0.55 ,"2,873",0.50 ,49,0.01 ,24,0.00 ,212,0.04 ,"1,001",0.17 ,696,0.12 ,183,0.03 ,122,0.02 ,583,0.10 ,356,0.06 ,39,0.01 ,44,0.01 ,5,0.00 ,139,0.02 ,271,0.05 ,192,0.03 ,54,0.01 ,25,0%,0,0.00 ,390,0.07 ,189,0.03 ,201,0.03 ,369,0.06 ,"4,983",135,142,512,0,724,491,94,"2,836",257,303,658,42,306,61,"4,352",75%,35,1%,159,0.03 ,360,0.06 ,866,0.15 ,0,0.00 ,64,0.01 ,"1,197",0.21 ,"2,033",0.35 ,"1,316",0.23 ,808,0.14 ,284,0.05 ,59,0.01 ,11,0.00 ,0,0.00 ,113,0.04 ,998,0.38 ,1,0.00 ,"2,743",0.89 ,"1,169",0.40 ,10,0.00 ,359,0.15 ,276,0.10 ,63,0.02 ,40,0.01 ,0,0.00 ,5772,849,706,113,30,256,49,36,171,26,1340,803,155,1342,392,28,95,202,81,61,60,284
E07000174,Mansfield,193,193,157,36,172,0.89 ,148,0.77 ,0,0.00 ,0,0.00 ,24,0.12 ,3,0.02 ,2,0.01 ,1,0.01 ,0,0.00 ,1,0.01 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,1,0.01 ,3,0.02 ,2,0.01 ,0,0.00 ,0,0%,1,0.01 ,3,0.02 ,0,0.00 ,3,0.02 ,11,0.06 ,29,0,5,159,0,11,14,0,31,1,27,54,3,2,50,185,96%,0,0%,7,0.04 ,0,0.00 ,1,0.01 ,0,0.00 ,0,0.00 ,43,0.22 ,72,0.37 ,36,0.19 ,25,0.13 ,12,0.06 ,5,0.03 ,0,0.00 ,0,0.00 ,4,0.03 ,62,0.72 ,0,0.00 ,67,0.67 ,33,0.29 ,0,0.00 ,9,0.10 ,14,0.15 ,1,0.01 ,3,0.04 ,0,0.00 ,193,33,30,3,0,6,2,1,3,2,69,19,1,21,19,8,0,11,6,1,4,4
E06000035,Medway,"1,611","1,588",867,721,"1,317",0.83 ,"1,250",0.79 ,6,0.00 ,4,0.00 ,57,0.04 ,99,0.06 ,63,0.04 ,23,0.01 ,13,0.01 ,30,0.02 ,5,0.00 ,11,0.01 ,7,0.00 ,1,0.00 ,6,0.00 ,35,0.02 ,23,0.01 ,7,0.00 ,5,0%,0,0.00 ,18,0.01 ,4,0.00 ,14,0.01 ,89,0.06 ,"1,269",21,41,257,0,162,170,21,726,84,162,166,31,52,14,"1,476",93%,3,0%,54,0.03 ,15,0.01 ,40,0.03 ,0,0.00 ,25,0.02 ,380,0.24 ,488,0.31 ,352,0.22 ,204,0.13 ,98,0.06 ,28,0.02 ,13,0.01 ,0,0.00 ,34,0.05 ,387,0.51 ,1,0.00 ,660,0.79 ,293,0.37 ,0,0.00 ,110,0.15 ,79,0.10 ,9,0.01 ,15,0.02 ,0,0.00 ,1588,291,237,39,15,139,17,75,47,12,488,179,36,247,49,4,1,64,51,5,8,78
E07000133,Melton,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
E07000187,Mendip,609,606,272,334,547,0.90 ,517,0.85 ,2,0.00 ,6,0.01 ,22,0.04 ,4,0.01 ,1,0.00 ,2,0.00 ,1,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,7,0.01 ,4,0.01 ,1,0.00 ,2,0%,0,0.00 ,1,0.00 ,0,0.00 ,1,0.00 ,47,0.08 ,456,9,8,132,1,115,74,6,147,39,46,128,29,21,1,580,96%,0,0%,16,0.03 ,6,0.01 ,3,0.00 ,1,0.00 ,5,0.01 ,124,0.20 ,156,0.26 ,128,0.21 ,98,0.16 ,62,0.10 ,24,0.04 ,9,0.01 ,0,0.00 ,21,0.07 ,81,0.25 ,0,0.00 ,278,0.95 ,137,0.45 ,7,0.02 ,40,0.12 ,38,0.12 ,1,0.00 ,3,0.01 ,0,0.00 ,606,134,115,6,13,30,1,23,6,14,134,53,9,108,57,2,0,12,5,1,6,53
E09000024,Merton,567,551,155,396,194,0.35 ,159,0.29 ,2,0.00 ,0,0.00 ,33,0.06 ,173,0.31 ,107,0.19 ,59,0.11 ,7,0.01 ,72,0.13 ,25,0.05 ,8,0.01 ,4,0.01 ,0,0.00 ,35,0.06 ,45,0.08 ,28,0.05 ,11,0.02 ,2,0%,4,0.01 ,43,0.08 ,13,0.02 ,30,0.05 ,24,0.04 ,395,10,16,129,1,82,87,7,296,12,7,13,9,18,20,423,77%,1,0%,21,0.04 ,32,0.06 ,74,0.13 ,0,0.00 ,7,0.01 ,121,0.22 ,168,0.30 ,121,0.22 ,78,0.14 ,39,0.07 ,13,0.02 ,4,0.01 ,0,0.00 ,18,0.06 ,122,0.37 ,0,0.00 ,206,0.89 ,119,0.44 ,3,0.02 ,40,0.11 ,30,0.10 ,8,0.02 ,5,0.01 ,0,0.00 ,551,140,98,19,23,27,3,12,12,1,190,61,11,65,14,4,4,8,6,1,1,26
E07000042,Mid Devon,330,325,207,118,315,0.97 ,302,0.93 ,3,0.01 ,0,0.00 ,10,0.03 ,1,0.00 ,0,0.00 ,0,0.00 ,1,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,1,0.00 ,0,0.00 ,1,0.00 ,0,0%,0,0.00 ,3,0.01 ,0,0.00 ,3,0.01 ,5,0.02 ,207,4,8,106,0,63,47,6,100,7,22,54,12,7,7,311,96%,0,0%,10,0.03 ,4,0.01 ,0,0.00 ,0,0.00 ,9,0.03 ,76,0.23 ,90,0.28 ,62,0.19 ,47,0.14 ,31,0.10 ,8,0.02 ,2,0.01 ,0,0.00 ,10,0.06 ,44,0.31 ,0,0.00 ,148,0.84 ,81,0.50 ,0,0.00 ,22,0.16 ,19,0.12 ,1,0.00 ,0,0.00 ,0,0.00 ,325,80,62,12,6,33,14,8,11,7,113,28,0,31,3,0,0,8,6,0,2,22
E07000203,Mid Suffolk,265,258,98,160,199,0.77 ,197,0.76 ,1,0.00 ,0,0.00 ,1,0.00 ,1,0.00 ,0,0.00 ,1,0.00 ,0,0.00 ,2,0.01 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,2,0.01 ,2,0.01 ,1,0.00 ,0,0.00 ,0,0%,1,0.00 ,1,0.00 ,0,0.00 ,1,0.00 ,53,0.21 ,22,0,1,235,0,37,35,5,68,9,26,58,6,4,10,252,98%,0,0%,2,0.01 ,1,0.00 ,3,0.01 ,0,0.00 ,1,0.00 ,56,0.22 ,75,0.29 ,44,0.17 ,39,0.15 ,32,0.12 ,9,0.03 ,2,0.01 ,0,0.00 ,6,0.04 ,52,0.36 ,0,0.00 ,102,0.87 ,63,0.48 ,0,0.00 ,12,0.08 ,18,0.13 ,1,0.01 ,4,0.03 ,0,0.00 ,258,40,32,1,7,27,11,11,5,4,78,37,13,16,17,1,0,4,2,2,0,21
E07000228,Mid Sussex,445,430,247,183,306,0.71 ,276,0.64 ,5,0.01 ,7,0.02 ,18,0.04 ,8,0.02 ,5,0.01 ,1,0.00 ,2,0.00 ,8,0.02 ,0,0.00 ,2,0.00 ,1,0.00 ,0,0.00 ,5,0.01 ,10,0.02 ,1,0.00 ,4,0.01 ,0,0%,5,0.01 ,9,0.02 ,1,0.00 ,8,0.02 ,89,0.21 ,274,4,12,138,2,61,57,2,86,19,47,96,9,6,47,400,93%,2,0%,10,0.02 ,5,0.01 ,13,0.03 ,0,0.00 ,1,0.00 ,87,0.20 ,118,0.27 ,106,0.25 ,61,0.14 ,40,0.09 ,12,0.03 ,5,0.01 ,0,0.00 ,13,0.06 ,93,0.46 ,0,0.00 ,176,0.76 ,74,0.35 ,3,0.01 ,31,0.15 ,31,0.15 ,2,0.01 ,7,0.04 ,0,0.00 ,430,95,80,7,8,54,8,39,7,11,111,36,28,27,32,3,0,10,5,2,3,23
E06000002,Middlesbrough,987,986,482,504,875,0.89 ,851,0.86 ,12,0.01 ,0,0.00 ,12,0.01 ,30,0.03 ,27,0.03 ,1,0.00 ,2,0.00 ,32,0.03 ,15,0.02 ,4,0.00 ,0,0.00 ,3,0.00 ,10,0.01 ,15,0.02 ,3,0.00 ,4,0.00 ,5,1%,3,0.00 ,9,0.01 ,3,0.00 ,6,0.01 ,25,0.03 ,809,13,12,152,0,75,31,12,422,3,42,167,7,218,9,920,93%,0,0%,13,0.01 ,15,0.02 ,38,0.04 ,0,0.00 ,6,0.01 ,206,0.21 ,348,0.35 ,264,0.27 ,118,0.12 ,31,0.03 ,11,0.01 ,2,0.00 ,0,0.00 ,8,0.02 ,113,0.22 ,0,0.00 ,562,1.15 ,262,0.54 ,5,0.01 ,16,0.03 ,15,0.03 ,4,0.01 ,1,0.00 ,0,0.00 ,986,188,161,25,2,111,4,40,67,19,376,93,0,22,8,10,25,89,76,5,8,45
E06000042,Milton Keynes,"1,964","1,881","1,218",663,"1,381",0.73 ,"1,258",0.67 ,13,0.01 ,6,0.00 ,104,0.06 ,213,0.11 ,172,0.09 ,26,0.01 ,15,0.01 ,104,0.06 ,43,0.02 ,20,0.01 ,19,0.01 ,2,0.00 ,20,0.01 ,129,0.07 ,26,0.01 ,67,0.04 ,20,1%,16,0.01 ,33,0.02 ,10,0.01 ,23,0.01 ,21,0.01 ,"1,681",29,8,156,7,311,235,13,852,104,125,150,42,24,25,"1,584",84%,14,1%,64,0.03 ,73,0.04 ,146,0.08 ,0,0.00 ,5,0.00 ,418,0.22 ,628,0.33 ,442,0.23 ,225,0.12 ,113,0.06 ,26,0.01 ,18,0.01 ,6,0.00 ,60,0.07 ,407,0.46 ,1,0.00 ,777,0.75 ,350,0.37 ,9,0.01 ,127,0.16 ,109,0.13 ,14,0.02 ,8,0.01 ,19,0.02 ,1881,316,239,49,28,203,50,82,71,11,512,181,24,376,61,24,0,56,22,15,19,117
E07000210,Mole Valley,298,268,120,148,222,0.83 ,206,0.77 ,2,0.01 ,4,0.01 ,10,0.04 ,4,0.01 ,2,0.01 ,2,0.01 ,0,0.00 ,8,0.03 ,1,0.00 ,2,0.01 ,1,0.00 ,0,0.00 ,4,0.01 ,1,0.00 ,0,0.00 ,0,0.00 ,0,0%,1,0.00 ,7,0.03 ,0,0.00 ,7,0.03 ,26,0.10 ,53,1,2,212,0,45,35,2,76,12,21,57,12,6,2,255,95%,1,0%,2,0.01 ,1,0.00 ,9,0.03 ,0,0.00 ,1,0.00 ,45,0.17 ,76,0.28 ,52,0.19 ,57,0.21 ,18,0.07 ,14,0.05 ,3,0.01 ,2,0.01 ,4,0.04 ,53,0.37 ,0,0.00 ,127,0.99 ,54,0.40 ,0,0.00 ,12,0.08 ,15,0.11 ,0,0.00 ,2,0.01 ,1,0.01 ,268,52,44,3,5,34,6,16,12,4,74,28,2,19,16,2,0,15,10,0,5,22
E07000091,New Forest,826,783,230,553,759,0.97 ,728,0.93 ,0,0.00 ,5,0.01 ,26,0.03 ,3,0.00 ,1,0.00 ,0,0.00 ,2,0.00 ,2,0.00 ,0,0.00 ,2,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,3,0.00 ,1,0.00 ,0,0.00 ,2,0%,0,0.00 ,8,0.01 ,2,0.00 ,6,0.01 ,8,0.01 ,698,15,22,48,0,118,96,4,332,35,40,89,33,21,15,756,97%,0,0%,13,0.02 ,7,0.01 ,7,0.01 ,0,0.00 ,1,0.00 ,191,0.24 ,239,0.31 ,144,0.18 ,114,0.15 ,64,0.08 ,15,0.02 ,15,0.02 ,0,0.00 ,21,0.04 ,157,0.33 ,0,0.00 ,339,0.99 ,151,0.37 ,3,0.00 ,56,0.11 ,51,0.13 ,2,0.00 ,3,0.01 ,0,0.00 ,783,166,138,14,14,24,15,5,4,3,251,95,5,87,22,6,0,43,30,9,4,81
E07000175,Newark and Sherwood,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
E07000195,Newcastle-under-Lyme,391,389,228,161,338,0.87 ,329,0.85 ,1,0.00 ,1,0.00 ,7,0.02 ,11,0.03 ,7,0.02 ,2,0.01 ,2,0.01 ,13,0.03 ,5,0.01 ,1,0.00 ,1,0.00 ,1,0.00 ,5,0.01 ,5,0.01 ,3,0.01 ,2,0.01 ,0,0%,0,0.00 ,5,0.01 ,1,0.00 ,4,0.01 ,17,0.04 ,326,5,10,48,0,40,28,11,86,29,53,99,12,20,11,363,93%,0,0%,5,0.01 ,2,0.01 ,19,0.05 ,0,0.00 ,13,0.03 ,88,0.23 ,101,0.26 ,107,0.28 ,49,0.13 ,19,0.05 ,8,0.02 ,4,0.01 ,0,0.00 ,6,0.03 ,70,0.38 ,1,0.00 ,163,0.81 ,115,0.59 ,2,0.01 ,24,0.14 ,7,0.03 ,1,0.00 ,0,0.00 ,0,0.00 ,389,64,57,2,5,19,2,11,6,10,82,25,2,115,13,10,1,4,1,3,0,44
E08000021,Newcastle upon Tyne,"1,632","1,537","1,129",408,"1,245",0.81 ,"1,172",0.76 ,1,0.00 ,1,0.00 ,71,0.05 ,93,0.06 ,90,0.06 ,3,0.00 ,0,0.00 ,95,0.06 ,23,0.01 ,5,0.00 ,36,0.02 ,1,0.00 ,30,0.02 ,11,0.01 ,3,0.00 ,1,0.00 ,1,0%,6,0.00 ,80,0.05 ,39,0.03 ,41,0.03 ,13,0.01 ,666,33,154,635,49,151,128,10,915,29,44,179,10,28,43,"1,275",83%,0,0%,50,0.03 ,38,0.02 ,168,0.11 ,6,0.00 ,0,0.00 ,327,0.21 ,577,0.38 ,374,0.24 ,188,0.12 ,56,0.04 ,15,0.01 ,0,0.00 ,0,0.00 ,9,0.01 ,89,0.12 ,0,0.00 ,917,1.10 ,433,0.63 ,0,0.00 ,49,0.07 ,29,0.04 ,7,0.01 ,3,0.00 ,1,0.00 ,1537,177,161,11,5,137,56,14,67,16,543,329,12,75,67,2,53,86,69,5,12,40
E09000025,Newham,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
