Area_code,Area_name,Pop_Mid_2020,Area_(sq_km),2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 
E07000035,Derbyshire Dales,"72,422",792,91,0.068,"26,069","26,008","253,750"
E08000017,Doncaster,"312,785",568,551,0.166,"22,352","27,670","134,500"
E06000059,Dorset,"379,791","2,491",152,0.088,"24,140","29,989","290,000"
E07000108,Dover,"118,514",315,376,0.134,"25,139","35,574","245,000"
E08000027,Dudley,"322,363",98,"3,291",0.156,"19,781","28,909","176,000"
E09000009,Ealing,"340,341",56,"6,128",0.14,"31,500","32,741","485,000"
E07000040,East Devon,"148,080",814,182,0.081,"22,480","27,866","283,000"
E07000085,East Hampshire,"123,838",514,241,0.06,"26,140","29,405","350,000"
E07000242,East Hertfordshire,"151,786",476,319,0.06,"32,199","32,275","400,000"
E07000152,East Northamptonshire,,,,,,,
E06000011,East Riding of Yorkshire,"343,201","2,404",143,0.096,"24,671","29,436","177,000"
E07000193,East Staffordshire,"120,923",387,312,0.103,"34,264","28,804","178,000"
E07000244,East Suffolk,"250,373","1,261",199,0.112,"25,027","29,198","238,330"
E07000086,Eastleigh,"135,520",80,"1,701",0.066,"37,549","31,374","285,000"
E07000030,Eden,"53,754","2,142",25,0.07,"31,774","27,221","185,000"
E07000207,Elmbridge,"137,215",95,"1,444",0.057,"50,527","36,638","600,000"
E09000010,Enfield,"333,587",81,"4,127",0.171,"28,225","30,338","415,000"
E07000072,Epping Forest,"132,175",339,390,0.091,"35,349","32,465","464,500"
E07000208,Epsom and Ewell,"81,003",34,"2,377",0.056,"25,438","27,905","485,000"
E07000036,Erewash,"115,332",110,"1,052",0.12,"18,653","27,326","166,875"
E07000041,Exeter,"133,333",47,"2,835",0.095,"47,259","29,934","250,000"
E07000087,Fareham,"116,338",74,"1,567",0.056,"30,099","28,734","295,000"
E07000010,Fenland,"102,080",546,187,0.14,"21,351","26,574","190,000"
E07000112,Folkestone and Hythe,"113,320",357,317,0.145,"23,178","24,467","260,000"
E07000080,Forest of Dean,"87,107",526,166,0.107,"24,578","25,505","225,000"
E07000119,Fylde,"81,211",166,490,0.096,"38,276","35,166","195,000"
E08000037,Gateshead,"201,950",142,"1,419",0.167,"25,035","25,895","135,000"
E07000173,Gedling,"118,239",120,985,0.102,"16,392","29,272","190,000"
E07000081,Gloucester,"129,709",41,"3,199",0.126,"28,397","29,321","206,500"
E07000088,Gosport,"84,679",25,"3,337",0.107,"15,537","31,639","210,000"
E07000109,Gravesham,"106,890",99,"1,080",0.122,"20,264","35,105","295,000"
E07000145,Great Yarmouth,"99,198",174,569,0.184,"21,155","29,351","177,000"
E09000011,Greenwich,"289,034",47,"6,109",0.159,"23,969","34,561","407,000"
E07000209,Guildford,"150,352",271,555,0.057,"39,600","36,862","445,000"
E09000012,Hackney,"280,941",19,"14,752",0.196,"34,505","36,612","550,000"
E09000013,Hammersmith and Fulham,"183,544",16,"11,189",0.142,"67,238","41,988","715,000"
E07000131,Harborough,"95,537",592,161,0.056,"26,802","29,997","265,000"
E09000014,Haringey,"266,357",30,"8,997",0.17,"19,256","33,706","535,000"
E07000073,Harlow,"87,280",31,"2,858",0.134,"29,451","31,351","280,000"
E09000015,Harrow,"252,338",50,"5,000",0.109,"25,618","30,220","494,475"
E07000089,Hart,"97,608",215,453,0.042,"37,190","38,716","407,500"
E07000062,Hastings,"92,554",30,"3,106",0.202,"20,487","24,705","230,000"
E07000090,Havant,"126,339",56,"2,267",0.126,"25,274","28,640","280,000"
E09000016,Havering,"260,651",112,"2,320",0.108,"26,668","33,836","377,775"
E06000019,"Herefordshire, County of","193,615","2,180",89,0.098,"24,297","27,085","240,000"
E07000098,Hertsmere,"105,471",101,"1,043",0.089,"45,519","31,927","470,000"
E07000037,High Peak,"92,633",539,172,0.097,"19,347","26,897","190,000"
E09000017,Hillingdon,"309,014",116,"2,671",0.114,"55,787","38,183","436,750"
E07000132,Hinckley and Bosworth,"113,666",297,382,0.082,"24,423","29,063","205,000"
E07000227,Horsham,"145,474",530,274,0.056,"27,857","31,891","381,750"
