Total owed a prevention or relief duty,2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 ,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired
2093.000000 ,2449.000000 ,0.112000 ,30084.000000 ,29207.000000 ,286000.000000 ,0.920000 ,0.020000 ,0.010000 ,0.020000 ,0.085000 ,0.096000 ,0.012400 ,0.335400 ,0.054900 ,0.098900 ,0.241300 ,0.030600 
740.000000 ,1135.000000 ,0.068000 ,46847.000000 ,41770.000000 ,335000.000000 ,0.740000 ,0.050000 ,0.030000 ,0.030000 ,0.266200 ,0.147300 ,0.017600 ,0.178400 ,0.062200 ,0.104100 ,0.112200 ,0.031100 
2502.000000 ,1480.000000 ,0.189000 ,21410.000000 ,27947.000000 ,135000.000000 ,0.620000 ,0.040000 ,0.200000 ,0.010000 ,0.058800 ,0.052000 ,0.006800 ,0.432900 ,0.038800 ,0.103500 ,0.195000 ,0.012400 
450.000000 ,250.000000 ,0.092000 ,26584.000000 ,29259.000000 ,277500.000000 ,0.900000 ,0.020000 ,0.010000 ,0.010000 ,0.097800 ,0.117800 ,0.015600 ,0.284400 ,0.024400 ,0.135600 ,0.233300 ,0.044400 
586.000000 ,108.000000 ,0.100000 ,21096.000000 ,26597.000000 ,220000.000000 ,0.940000 ,0.010000 ,0.010000 ,0.010000 ,0.180900 ,0.097300 ,0.015400 ,0.298600 ,0.030700 ,0.112600 ,0.187700 ,0.032400 
2919.000000 ,7580.000000 ,0.155000 ,31372.000000 ,33972.000000 ,524000.000000 ,0.100000 ,0.350000 ,0.110000 ,0.030000 ,0.062400 ,0.007900 ,0.007900 ,0.117500 ,0.042500 ,0.038000 ,0.049300 ,0.013700 
63.000000 ,504.000000 ,0.064000 ,50784.000000 ,34035.000000 ,456000.000000 ,0.900000 ,0.050000 ,0.020000 ,0.020000 ,0.127000 ,0.254000 ,0.000000 ,0.158700 ,0.000000 ,0.111100 ,0.190500 ,0.031700 
2769.000000 ,4248.000000 ,0.141000 ,36537.000000 ,32982.000000 ,280000.000000 ,0.550000 ,0.130000 ,0.030000 ,0.030000 ,0.088500 ,0.089600 ,0.013700 ,0.252400 ,0.048400 ,0.082300 ,0.240900 ,0.010100 
111.000000 ,239.000000 ,0.072000 ,30529.000000 ,29861.000000 ,250000.000000 ,0.930000 ,0.010000 ,0.000000 ,0.010000 ,0.180200 ,0.180200 ,0.009000 ,0.243200 ,0.009000 ,0.090100 ,0.207200 ,0.045000 
1150.000000 ,2216.000000 ,0.091000 ,28928.000000 ,34217.000000 ,450000.000000 ,0.610000 ,0.220000 ,0.040000 ,0.080000 ,0.138300 ,0.133000 ,0.027000 ,0.436500 ,0.150400 ,0.015700 ,0.036500 ,0.033000 
