homeless_rate,Income_deprivation_score_2019,GDP,earnings,house_price,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired,16-17,18-24,25-34,35-44,45-54,55-64,65-74,75+
1.205337925,0.147,2.9528,2.76 ,1.25 ,1.00 ,0.00 ,0.00 ,0.00 ,0.08 ,0.05 ,0.00 ,0.41 ,0.02 ,0.13 ,0.19 ,0.04 ,0.00 ,0.23 ,0.31 ,0.19 ,0.15 ,0.06 ,0.03 ,0.02 
5.148344481,0.186,2.3623,2.54 ,1.40 ,0.77 ,0.06 ,0.09 ,0.02 ,0.09 ,0.06 ,0.01 ,0.36 ,0.02 ,0.16 ,0.18 ,0.01 ,0.00 ,0.24 ,0.33 ,0.23 ,0.13 ,0.04 ,0.02 ,0.00 
2.795149428,0.128,2.4275,2.46 ,1.60 ,0.95 ,0.02 ,0.01 ,0.03 ,0.10 ,0.07 ,0.01 ,0.36 ,0.03 ,0.05 ,0.32 ,0.04 ,0.02 ,0.26 ,0.23 ,0.19 ,0.17 ,0.09 ,0.04 ,0.02 
5.272186383,0.112,3.0084,2.92 ,2.86 ,0.92 ,0.02 ,0.01 ,0.02 ,0.09 ,0.10 ,0.01 ,0.34 ,0.05 ,0.10 ,0.24 ,0.03 ,0.01 ,0.19 ,0.29 ,0.23 ,0.16 ,0.08 ,0.03 ,0.01 
5.959811541,0.068,4.6847,4.18 ,3.35 ,0.74 ,0.05 ,0.03 ,0.03 ,0.27 ,0.15 ,0.02 ,0.18 ,0.06 ,0.10 ,0.11 ,0.03 ,0.01 ,0.21 ,0.31 ,0.22 ,0.14 ,0.07 ,0.02 ,0.01 
4.615146239,0.189,2.141,2.79 ,1.35 ,0.62 ,0.04 ,0.20 ,0.01 ,0.06 ,0.05 ,0.01 ,0.43 ,0.04 ,0.10 ,0.20 ,0.01 ,0.00 ,0.23 ,0.32 ,0.24 ,0.14 ,0.05 ,0.01 ,0.01 
2.939428183,0.092,2.6584,2.93 ,2.78 ,0.90 ,0.02 ,0.01 ,0.01 ,0.10 ,0.12 ,0.02 ,0.28 ,0.02 ,0.14 ,0.23 ,0.04 ,0.01 ,0.23 ,0.29 ,0.21 ,0.14 ,0.06 ,0.04 ,0.02 
4.148525716,0.1,2.1096,2.66 ,2.20 ,0.94 ,0.01 ,0.01 ,0.01 ,0.18 ,0.10 ,0.02 ,0.30 ,0.03 ,0.11 ,0.19 ,0.03 ,0.02 ,0.27 ,0.32 ,0.18 ,0.12 ,0.05 ,0.03 ,0.01 
8.906096969,0.155,3.1372,3.40 ,5.24 ,0.10 ,0.35 ,0.11 ,0.03 ,0.06 ,0.01 ,0.01 ,0.12 ,0.04 ,0.04 ,0.05 ,0.01 ,0.00 ,0.17 ,0.33 ,0.22 ,0.15 ,0.09 ,0.02 ,0.01 
0.815618446,0.064,5.0784,3.40 ,4.56 ,0.90 ,0.05 ,0.02 ,0.02 ,0.13 ,0.25 ,0.00 ,0.16 ,0.00 ,0.11 ,0.19 ,0.03 ,0.00 ,0.29 ,0.40 ,0.11 ,0.08 ,0.08 ,0.05 ,0.00 
5.943769238,0.141,3.6537,3.30 ,2.80 ,0.55 ,0.13 ,0.03 ,0.03 ,0.09 ,0.09 ,0.01 ,0.25 ,0.05 ,0.08 ,0.24 ,0.01 ,0.00 ,0.17 ,0.35 ,0.28 ,0.14 ,0.05 ,0.01 ,0.00 
0.841348887,0.072,3.0529,2.99 ,2.50 ,0.93 ,0.01 ,0.00 ,0.01 ,0.18 ,0.18 ,0.01 ,0.24 ,0.01 ,0.09 ,0.21 ,0.05 ,0.00 ,0.28 ,0.24 ,0.23 ,0.12 ,0.08 ,0.04 ,0.01 
3.456027312,0.091,2.8928,3.42 ,4.50 ,0.61 ,0.22 ,0.04 ,0.08 ,0.14 ,0.13 ,0.03 ,0.44 ,0.15 ,0.02 ,0.04 ,0.03 ,0.03 ,0.23 ,0.31 ,0.20 ,0.13 ,0.07 ,0.03 ,0.01 
1.998627808,0.073,3.3036,2.86 ,2.86 ,0.89 ,0.01 ,0.02 ,0.01 ,0.23 ,0.14 ,0.02 ,0.23 ,0.03 ,0.07 ,0.17 ,0.04 ,0.02 ,0.23 ,0.28 ,0.18 ,0.14 ,0.09 ,0.03 ,0.01 
6.967784245,0.108,2.8214,3.01 ,3.65 ,0.81 ,0.13 ,0.01 ,0.03 ,0.13 ,0.10 ,0.03 ,0.46 ,0.04 ,0.09 ,0.11 ,0.01 ,0.02 ,0.19 ,0.32 ,0.24 ,0.13 ,0.08 ,0.02 ,0.00 
1.901820688,0.097,2.2231,2.48 ,1.90 ,0.87 ,0.01 ,0.02 ,0.02 ,0.12 ,0.12 ,0.03 ,0.30 ,0.05 ,0.21 ,0.10 ,0.03 ,0.00 ,0.28 ,0.29 ,0.21 ,0.13 ,0.06 ,0.01 ,0.01 
5.775429799,0.203,2.5815,2.45 ,0.92 ,0.91 ,0.01 ,0.04 ,0.03 ,0.06 ,0.05 ,0.01 ,0.40 ,0.04 ,0.05 ,0.28 ,0.03 ,0.01 ,0.21 ,0.36 ,0.22 ,0.12 ,0.05 ,0.02 ,0.01 
3.833085135,0.145,2.1727,2.68 ,1.77 ,0.79 ,0.05 ,0.07 ,0.03 ,0.12 ,0.08 ,0.02 ,0.33 ,0.08 ,0.06 ,0.16 ,0.03 ,0.00 ,0.24 ,0.30 ,0.23 ,0.13 ,0.07 ,0.02 ,0.01 
3.835621621,0.149,2.571,2.76 ,1.46 ,0.83 ,0.03 ,0.06 ,0.02 ,0.07 ,0.04 ,0.04 ,0.44 ,0.08 ,0.07 ,0.16 ,0.03 ,0.05 ,0.22 ,0.28 ,0.25 ,0.12 ,0.04 ,0.02 ,0.01 
4.789586049,0.077,5.4174,3.46 ,4.25 ,0.75 ,0.05 ,0.06 ,0.04 ,0.15 ,0.12 ,0.01 ,0.32 ,0.05 ,0.07 ,0.19 ,0.01 ,0.02 ,0.24 ,0.33 ,0.21 ,0.13 ,0.06 ,0.01 ,0.00 
3.928218778,0.141,13.5264,4.08 ,7.75 ,0.12 ,0.23 ,0.15 ,0.12 ,0.10 ,0.11 ,0.03 ,0.23 ,0.07 ,0.04 ,0.20 ,0.01 ,0.00 ,0.18 ,0.35 ,0.22 ,0.16 ,0.06 ,0.02 ,0.01 
1.753971069,0.127,2.4497,2.68 ,1.68 ,0.90 ,0.02 ,0.01 ,0.04 ,0.17 ,0.18 ,0.01 ,0.25 ,0.00 ,0.23 ,0.12 ,0.03 ,0.01 ,0.21 ,0.32 ,0.24 ,0.11 ,0.08 ,0.02 ,0.01 
4.66533143,0.1,2.3998,2.79 ,3.06 ,0.88 ,0.03 ,0.02 ,0.03 ,0.08 ,0.10 ,0.02 ,0.37 ,0.08 ,0.07 ,0.16 ,0.03 ,0.01 ,0.26 ,0.32 ,0.20 ,0.11 ,0.07 ,0.03 ,0.01 
3.24352217,0.116,3.0305,2.93 ,1.32 ,0.97 ,0.00 ,0.01 ,0.01 ,0.16 ,0.09 ,0.01 ,0.34 ,0.02 ,0.05 ,0.22 ,0.04 ,0.00 ,0.24 ,0.32 ,0.22 ,0.12 ,0.05 ,0.03 ,0.02 
2.562856259,0.107,1.4505,2.71 ,3.02 ,0.92 ,0.02 ,0.00 ,0.00 ,0.06 ,0.12 ,0.00 ,0.21 ,0.03 ,0.24 ,0.23 ,0.05 ,0.01 ,0.15 ,0.27 ,0.26 ,0.15 ,0.11 ,0.04 ,0.01 
3.910287797,0.077,2.5242,3.06 ,2.95 ,0.84 ,0.07 ,0.02 ,0.05 ,0.21 ,0.12 ,0.02 ,0.34 ,0.04 ,0.07 ,0.15 ,0.02 ,0.00 ,0.23 ,0.32 ,0.23 ,0.13 ,0.06 ,0.03 ,0.01 
4.450038708,0.077,3.2346,3.27 ,3.43 ,0.69 ,0.04 ,0.01 ,0.01 ,0.15 ,0.14 ,0.01 ,0.33 ,0.07 ,0.09 ,0.12 ,0.02 ,0.01 ,0.26 ,0.33 ,0.22 ,0.12 ,0.05 ,0.02 ,0.01 
4.463862534,0.091,3.3143,2.99 ,2.66 ,0.89 ,0.02 ,0.03 ,0.01 ,0.13 ,0.09 ,0.01 ,0.45 ,0.04 ,0.04 ,0.16 ,0.02 ,0.00 ,0.24 ,0.30 ,0.24 ,0.14 ,0.07 ,0.02 ,0.01 
2.061298948,0.076,3.7031,3.23 ,2.85 ,0.71 ,0.04 ,0.03 ,0.03 ,0.16 ,0.10 ,0.01 ,0.48 ,0.04 ,0.08 ,0.10 ,0.02 ,0.00 ,0.21 ,0.28 ,0.23 ,0.17 ,0.07 ,0.03 ,0.00 
3.310341974,0.083,4.2086,3.03 ,2.20 ,0.95 ,0.01 ,0.01 ,0.00 ,0.16 ,0.10 ,0.01 ,0.30 ,0.03 ,0.08 ,0.21 ,0.03 ,0.00 ,0.19 ,0.30 ,0.23 ,0.15 ,0.08 ,0.03 ,0.01 
5.232343386,0.108,3.443,2.87 ,2.04 ,0.95 ,0.01 ,0.01 ,0.02 ,0.14 ,0.10 ,0.01 ,0.35 ,0.06 ,0.05 ,0.21 ,0.03 ,0.01 ,0.21 ,0.32 ,0.24 ,0.13 ,0.07 ,0.02 ,0.01 
5.413132565,0.153,2.6609,2.73 ,1.55 ,0.96 ,0.01 ,0.01 ,0.01 ,0.12 ,0.08 ,0.01 ,0.38 ,0.03 ,0.10 ,0.25 ,0.01 ,0.00 ,0.25 ,0.30 ,0.28 ,0.13 ,0.03 ,0.01 ,0.01 
6.898292252,0.102,2.1469,2.78 ,1.66 ,0.64 ,0.01 ,0.00 ,0.01 ,0.10 ,0.05 ,0.01 ,0.22 ,0.02 ,0.09 ,0.15 ,0.03 ,0.00 ,0.16 ,0.29 ,0.25 ,0.16 ,0.11 ,0.02 ,0.01 
1.097092704,0.065,728.2005,6.15 ,7.80 ,0.42 ,0.17 ,0.17 ,0.08 ,0.67 ,0.08 ,0.00 ,0.08 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,0.00 ,0.33 ,0.33 ,0.25 ,0.00 ,0.08 ,0.00 
3.742393509,0.099,2.6202,2.88 ,2.65 ,0.79 ,0.03 ,0.02 ,0.01 ,0.12 ,0.09 ,0.01 ,0.26 ,0.03 ,0.14 ,0.21 ,0.03 ,0.02 ,0.25 ,0.32 ,0.22 ,0.10 ,0.05 ,0.02 ,0.01 
4.159256919,0.13,2.5274,4.95 ,1.24 ,0.98 ,0.01 ,0.00 ,0.00 ,0.12 ,0.09 ,0.01 ,0.45 ,0.08 ,0.01 ,0.17 ,0.03 ,0.00 ,0.18 ,0.42 ,0.21 ,0.12 ,0.05 ,0.01 ,0.01 
5.621848285,0.13,2.3253,2.56 ,2.35 ,0.94 ,0.00 ,0.00 ,0.01 ,0.10 ,0.10 ,0.03 ,0.37 ,0.05 ,0.05 ,0.19 ,0.04 ,0.04 ,0.19 ,0.29 ,0.21 ,0.14 ,0.08 ,0.03 ,0.01 
2.426216432,0.064,4.7313,2.50 ,3.60 ,0.95 ,0.02 ,0.00 ,0.00 ,0.16 ,0.11 ,0.00 ,0.22 ,0.11 ,0.06 ,0.16 ,0.03 ,0.00 ,0.24 ,0.31 ,0.19 ,0.13 ,0.10 ,0.02 ,0.01 
4.95733838,0.165,2.0061,2.65 ,1.09 ,0.78 ,0.00 ,0.00 ,0.00 ,0.02 ,0.01 ,0.00 ,0.16 ,0.00 ,0.02 ,0.07 ,0.01 ,0.02 ,0.23 ,0.32 ,0.23 ,0.13 ,0.06 ,0.02 ,0.01 
6.59748489,0.154,2.9608,3.25 ,1.83 ,0.67 ,0.12 ,0.07 ,0.06 ,0.11 ,0.07 ,0.01 ,0.58 ,0.02 ,0.04 ,0.11 ,0.01 ,0.00 ,0.26 ,0.33 ,0.24 ,0.12 ,0.04 ,0.01 ,0.00 
1.482437476,0.067,3.1074,2.77 ,2.18 ,0.93 ,0.00 ,0.01 ,0.00 ,0.13 ,0.11 ,0.07 ,0.34 ,0.06 ,0.01 ,0.13 ,0.06 ,0.07 ,0.11 ,0.26 ,0.26 ,0.14 ,0.07 ,0.06 ,0.04 
6.392588509,0.11,6.1209,3.61 ,2.95 ,0.66 ,0.08 ,0.08 ,0.04 ,0.15 ,0.11 ,0.00 ,0.44 ,0.03 ,0.07 ,0.10 ,0.02 ,0.00 ,0.24 ,0.34 ,0.21 ,0.12 ,0.06 ,0.02 ,0.00 
