homeless_rate,Income_deprivation_score_2019,GDP,earnings,house_price,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired,16-17,18-24,25-34,35-44,45-54,55-64,65-74,75+
2.740639236,0.056,2.5438,2.79 ,4.85 ,0.81 ,0.03 ,0.06 ,0.03 ,0.14 ,0.09 ,0.01 ,0.41 ,0.02 ,0.13 ,0.10 ,0.01 ,0.00 ,0.31 ,0.26 ,0.23 ,0.11 ,0.05 ,0.03 ,0.00 
2.540491798,0.12,1.8653,2.73 ,1.67 ,0.95 ,0.01 ,0.01 ,0.01 ,0.08 ,0.06 ,0.01 ,0.45 ,0.03 ,0.13 ,0.17 ,0.01 ,0.00 ,0.29 ,0.27 ,0.20 ,0.13 ,0.09 ,0.01 ,0.01 
8.610021525,0.095,4.7259,2.99 ,2.50 ,0.84 ,0.01 ,0.01 ,0.01 ,0.12 ,0.09 ,0.02 ,0.21 ,0.06 ,0.05 ,0.33 ,0.02 ,0.04 ,0.26 ,0.30 ,0.18 ,0.13 ,0.06 ,0.02 ,0.01 
3.068644811,0.056,3.0099,2.87 ,2.95 ,0.92 ,0.01 ,0.01 ,0.01 ,0.15 ,0.10 ,0.01 ,0.31 ,0.05 ,0.08 ,0.17 ,0.04 ,0.00 ,0.25 ,0.25 ,0.26 ,0.11 ,0.08 ,0.03 ,0.02 
4.202586207,0.14,2.1351,2.66 ,1.90 ,0.95 ,0.00 ,0.02 ,0.01 ,0.13 ,0.08 ,0.01 ,0.31 ,0.06 ,0.08 ,0.21 ,0.04 ,0.01 ,0.24 ,0.28 ,0.19 ,0.17 ,0.06 ,0.04 ,0.01 
3.538651606,0.145,2.3178,2.45 ,2.60 ,0.94 ,0.01 ,0.01 ,0.00 ,0.06 ,0.09 ,0.01 ,0.52 ,0.04 ,0.07 ,0.14 ,0.05 ,0.01 ,0.25 ,0.23 ,0.20 ,0.15 ,0.08 ,0.05 ,0.01 
3.76548383,0.107,2.4578,2.55 ,2.25 ,0.97 ,0.01 ,0.00 ,0.01 ,0.17 ,0.11 ,0.03 ,0.41 ,0.04 ,0.04 ,0.12 ,0.03 ,0.01 ,0.28 ,0.33 ,0.18 ,0.10 ,0.07 ,0.02 ,0.01 
2.007117262,0.096,3.8276,3.52 ,1.95 ,0.93 ,0.02 ,0.02 ,0.02 ,0.16 ,0.07 ,0.02 ,0.23 ,0.04 ,0.06 ,0.36 ,0.05 ,0.01 ,0.21 ,0.29 ,0.18 ,0.17 ,0.09 ,0.04 ,0.01 
8.447635553,0.167,2.5035,2.59 ,1.35 ,0.90 ,0.01 ,0.03 ,0.01 ,0.11 ,0.07 ,0.00 ,0.57 ,0.00 ,0.03 ,0.14 ,0.02 ,0.00 ,0.22 ,0.35 ,0.24 ,0.12 ,0.05 ,0.02 ,0.00 
2.063616912,0.102,1.6392,2.93 ,1.90 ,0.75 ,0.02 ,0.02 ,0.04 ,0.12 ,0.11 ,0.01 ,0.30 ,0.02 ,0.10 ,0.13 ,0.02 ,0.00 ,0.34 ,0.28 ,0.18 ,0.09 ,0.06 ,0.03 ,0.01 
9.42879831,0.126,2.8397,2.93 ,2.07 ,0.79 ,0.07 ,0.02 ,0.05 ,0.11 ,0.10 ,0.02 ,0.25 ,0.10 ,0.06 ,0.24 ,0.01 ,0.00 ,0.25 ,0.33 ,0.25 ,0.10 ,0.05 ,0.01 ,0.01 
4.936288808,0.107,1.5537,3.16 ,2.10 ,0.94 ,0.02 ,0.01 ,0.01 ,0.11 ,0.10 ,0.01 ,0.33 ,0.07 ,0.11 ,0.18 ,0.03 ,0.01 ,0.25 ,0.28 ,0.24 ,0.12 ,0.07 ,0.02 ,0.01 
5.809710918,0.122,2.0264,3.51 ,2.95 ,0.78 ,0.10 ,0.05 ,0.03 ,0.17 ,0.13 ,0.02 ,0.39 ,0.07 ,0.08 ,0.11 ,0.01 ,0.02 ,0.22 ,0.31 ,0.23 ,0.13 ,0.07 ,0.02 ,0.00 
7.086836428,0.184,2.1155,2.94 ,1.77 ,0.95 ,0.01 ,0.01 ,0.01 ,0.10 ,0.07 ,0.00 ,0.46 ,0.02 ,0.07 ,0.16 ,0.04 ,0.00 ,0.25 ,0.27 ,0.21 ,0.16 ,0.07 ,0.03 ,0.01 
5.348851692,0.159,2.3969,3.46 ,4.07 ,0.36 ,0.28 ,0.04 ,0.04 ,0.11 ,0.13 ,0.03 ,0.29 ,0.04 ,0.23 ,0.12 ,0.02 ,0.01 ,0.21 ,0.29 ,0.25 ,0.14 ,0.08 ,0.02 ,0.01 
2.514100245,0.057,3.96,3.69 ,4.45 ,0.72 ,0.03 ,0.03 ,0.01 ,0.12 ,0.14 ,0.02 ,0.31 ,0.03 ,0.17 ,0.15 ,0.03 ,0.01 ,0.31 ,0.25 ,0.17 ,0.15 ,0.07 ,0.03 ,0.02 
7.667090243,0.196,3.4505,3.66 ,5.50 ,0.24 ,0.48 ,0.08 ,0.09 ,0.12 ,0.11 ,0.02 ,0.38 ,0.08 ,0.05 ,0.12 ,0.01 ,0.00 ,0.22 ,0.32 ,0.22 ,0.13 ,0.08 ,0.02 ,0.00 
5.791526827,0.142,6.7238,4.20 ,7.15 ,0.34 ,0.36 ,0.08 ,0.07 ,0.10 ,0.11 ,0.02 ,0.46 ,0.05 ,0.10 ,0.10 ,0.01 ,0.01 ,0.20 ,0.34 ,0.21 ,0.14 ,0.07 ,0.02 ,0.00 
2.145765515,0.056,2.6802,3.00 ,2.65 ,0.86 ,0.02 ,0.01 ,0.03 ,0.18 ,0.12 ,0.01 ,0.27 ,0.08 ,0.06 ,0.15 ,0.02 ,0.00 ,0.23 ,0.32 ,0.21 ,0.14 ,0.05 ,0.01 ,0.01 
8.946639285,0.17,1.9256,3.37 ,5.35 ,0.23 ,0.32 ,0.04 ,0.05 ,0.11 ,0.12 ,0.02 ,0.34 ,0.05 ,0.04 ,0.10 ,0.02 ,0.00 ,0.18 ,0.33 ,0.24 ,0.15 ,0.07 ,0.03 ,0.01 
3.299725023,0.134,2.9451,3.14 ,2.80 ,0.81 ,0.08 ,0.03 ,0.04 ,0.10 ,0.07 ,0.02 ,0.40 ,0.02 ,0.08 ,0.06 ,0.02 ,0.02 ,0.33 ,0.31 ,0.18 ,0.11 ,0.03 ,0.01 ,0.00 
2.560058334,0.109,2.5618,3.02 ,4.94 ,0.29 ,0.27 ,0.28 ,0.05 ,0.09 ,0.14 ,0.01 ,0.27 ,0.09 ,0.09 ,0.17 ,0.03 ,0.00 ,0.16 ,0.32 ,0.25 ,0.15 ,0.08 ,0.03 ,0.02 
1.014261126,0.042,3.719,3.87 ,4.08 ,0.57 ,0.05 ,0.01 ,0.01 ,0.20 ,0.17 ,0.01 ,0.34 ,0.03 ,0.05 ,0.18 ,0.01 ,0.00 ,0.25 ,0.22 ,0.26 ,0.16 ,0.09 ,0.01 ,0.00 
10.03738358,0.202,2.0487,2.47 ,2.30 ,0.76 ,0.02 ,0.01 ,0.03 ,0.08 ,0.10 ,0.01 ,0.39 ,0.02 ,0.06 ,0.20 ,0.03 ,0.01 ,0.24 ,0.29 ,0.21 ,0.14 ,0.06 ,0.03 ,0.01 
3.451032539,0.126,2.5274,2.86 ,2.80 ,0.85 ,0.00 ,0.01 ,0.00 ,0.12 ,0.13 ,0.01 ,0.20 ,0.03 ,0.24 ,0.15 ,0.05 ,0.00 ,0.25 ,0.25 ,0.23 ,0.15 ,0.06 ,0.03 ,0.02 
6.644900653,0.108,2.6668,3.38 ,3.78 ,0.72 ,0.15 ,0.07 ,0.03 ,0.11 ,0.09 ,0.01 ,0.58 ,0.05 ,0.07 ,0.06 ,0.02 ,0.00 ,0.23 ,0.32 ,0.23 ,0.14 ,0.06 ,0.02 ,0.01 
5.784675774,0.098,2.4297,2.71 ,2.40 ,0.87 ,0.00 ,0.00 ,0.00 ,0.17 ,0.12 ,0.01 ,0.41 ,0.03 ,0.03 ,0.08 ,0.03 ,0.00 ,0.25 ,0.32 ,0.21 ,0.11 ,0.06 ,0.03 ,0.01 
2.607351784,0.089,4.5519,3.19 ,4.70 ,0.73 ,0.12 ,0.05 ,0.04 ,0.16 ,0.10 ,0.01 ,0.46 ,0.04 ,0.03 ,0.13 ,0.01 ,0.01 ,0.23 ,0.33 ,0.19 ,0.15 ,0.06 ,0.02 ,0.01 
4.825494154,0.097,1.9347,2.69 ,1.90 ,0.98 ,0.00 ,0.01 ,0.01 ,0.15 ,0.10 ,0.02 ,0.26 ,0.06 ,0.06 ,0.21 ,0.04 ,0.01 ,0.27 ,0.28 ,0.20 ,0.14 ,0.06 ,0.03 ,0.01 
5.588743552,0.114,5.5787,3.82 ,4.37 ,0.47 ,0.20 ,0.17 ,0.06 ,0.12 ,0.10 ,0.03 ,0.44 ,0.06 ,0.04 ,0.06 ,0.01 ,0.00 ,0.20 ,0.32 ,0.23 ,0.15 ,0.07 ,0.02 ,0.00 
3.343128112,0.082,2.4423,2.91 ,2.05 ,0.86 ,0.01 ,0.01 ,0.02 ,0.17 ,0.09 ,0.00 ,0.55 ,0.01 ,0.02 ,0.11 ,0.02 ,0.00 ,0.24 ,0.30 ,0.23 ,0.13 ,0.08 ,0.02 ,0.01 
2.350935562,0.056,2.7857,3.19 ,3.82 ,0.89 ,0.02 ,0.02 ,0.02 ,0.23 ,0.15 ,0.01 ,0.30 ,0.03 ,0.06 ,0.13 ,0.04 ,0.01 ,0.22 ,0.25 ,0.18 ,0.17 ,0.10 ,0.06 ,0.01 
5.184792022,0.074,3.0649,3.05 ,2.62 ,0.87 ,0.02 ,0.01 ,0.02 ,0.16 ,0.12 ,0.01 ,0.25 ,0.04 ,0.09 ,0.16 ,0.03 ,0.02 ,0.21 ,0.31 ,0.22 ,0.13 ,0.07 ,0.03 ,0.01 
2.341833779,0.182,2.0959,3.00 ,1.05 ,0.91 ,0.00 ,0.04 ,0.03 ,0.08 ,0.06 ,0.02 ,0.42 ,0.03 ,0.06 ,0.20 ,0.04 ,0.01 ,0.25 ,0.33 ,0.22 ,0.10 ,0.07 ,0.03 ,0.00 
13.43589819,0.141,3.4607,2.77 ,2.00 ,0.37 ,0.02 ,0.01 ,0.02 ,0.12 ,0.11 ,0.02 ,0.52 ,0.07 ,0.04 ,0.10 ,0.02 ,0.00 ,0.28 ,0.31 ,0.22 ,0.12 ,0.05 ,0.01 ,0.00 
4.919323101,0.138,2.2468,2.73 ,2.20 ,0.89 ,0.00 ,0.00 ,0.00 ,0.08 ,0.08 ,0.00 ,0.48 ,0.02 ,0.05 ,0.15 ,0.03 ,0.00 ,0.24 ,0.31 ,0.20 ,0.15 ,0.05 ,0.03 ,0.01 
6.541321565,0.179,8.4662,4.16 ,6.25 ,0.34 ,0.28 ,0.05 ,0.07 ,0.04 ,0.04 ,0.03 ,0.11 ,0.05 ,0.03 ,0.06 ,0.01 ,0.01 ,0.18 ,0.35 ,0.22 ,0.14 ,0.07 ,0.02 ,0.00 
6.540697674,0.117,6.8972,3.47 ,12.50 ,0.29 ,0.20 ,0.05 ,0.05 ,0.10 ,0.11 ,0.01 ,0.50 ,0.04 ,0.02 ,0.09 ,0.02 ,0.00 ,0.17 ,0.29 ,0.23 ,0.16 ,0.11 ,0.04 ,0.01 
2.049654534,0.12,2.3786,2.90 ,2.24 ,0.89 ,0.00 ,0.00 ,0.01 ,0.09 ,0.09 ,0.00 ,0.40 ,0.03 ,0.06 ,0.17 ,0.04 ,0.00 ,0.22 ,0.31 ,0.22 ,0.15 ,0.04 ,0.05 ,0.01 
9.763589914,0.227,2.7201,2.82 ,1.15 ,0.90 ,0.02 ,0.03 ,0.01 ,0.09 ,0.07 ,0.02 ,0.56 ,0.02 ,0.07 ,0.12 ,0.01 ,0.03 ,0.22 ,0.32 ,0.24 ,0.13 ,0.05 ,0.01 ,0.00 
2.383583972,0.078,3.427,3.53 ,4.94 ,0.63 ,0.06 ,0.10 ,0.02 ,0.16 ,0.13 ,0.02 ,0.30 ,0.06 ,0.05 ,0.12 ,0.03 ,0.01 ,0.19 ,0.27 ,0.25 ,0.16 ,0.07 ,0.03 ,0.01 
3.344739287,0.143,2.0736,2.76 ,1.50 ,0.59 ,0.03 ,0.14 ,0.04 ,0.07 ,0.06 ,0.03 ,0.43 ,0.03 ,0.13 ,0.17 ,0.02 ,0.02 ,0.28 ,0.32 ,0.19 ,0.12 ,0.04 ,0.02 ,0.01 
6.95300816,0.251,2.8125,3.57 ,1.30 ,0.95 ,0.01 ,0.01 ,0.01 ,0.11 ,0.09 ,0.01 ,0.42 ,0.02 ,0.09 ,0.22 ,0.01 ,0.02 ,0.22 ,0.33 ,0.20 ,0.16 ,0.05 ,0.01 ,0.01 
9.98716646,0.153,4.3056,3.87 ,5.10 ,0.21 ,0.48 ,0.03 ,0.10 ,0.12 ,0.15 ,0.02 ,0.45 ,0.04 ,0.04 ,0.07 ,0.02 ,0.02 ,0.21 ,0.30 ,0.21 ,0.14 ,0.09 ,0.02 ,0.01 
7.789320294,0.143,3.7937,3.04 ,1.87 ,0.70 ,0.09 ,0.06 ,0.06 ,0.13 ,0.09 ,0.02 ,0.48 ,0.03 ,0.06 ,0.11 ,0.01 ,0.03 ,0.24 ,0.34 ,0.22 ,0.12 ,0.04 ,0.01 ,0.00 
6.858059632,0.196,2.841,2.86 ,1.80 ,0.52 ,0.14 ,0.18 ,0.05 ,0.11 ,0.09 ,0.01 ,0.47 ,0.02 ,0.07 ,0.11 ,0.01 ,0.01 ,0.21 ,0.32 ,0.26 ,0.14 ,0.05 ,0.01 ,0.00 
10.31086539,0.164,1.5837,3.49 ,4.25 ,0.27 ,0.45 ,0.04 ,0.04 ,0.13 ,0.13 ,0.03 ,0.40 ,0.04 ,0.05 ,0.11 ,0.01 ,0.02 ,0.24 ,0.31 ,0.21 ,0.14 ,0.07 ,0.02 ,0.01 
2.470725219,0.084,2.6133,2.70 ,2.40 ,0.93 ,0.01 ,0.02 ,0.03 ,0.12 ,0.10 ,0.02 ,0.20 ,0.01 ,0.16 ,0.18 ,0.04 ,0.01 ,0.22 ,0.30 ,0.16 ,0.18 ,0.07 ,0.05 ,0.02 
6.20695859,0.155,3.1924,2.88 ,1.57 ,0.92 ,0.00 ,0.00 ,0.00 ,0.08 ,0.08 ,0.02 ,0.32 ,0.14 ,0.08 ,0.16 ,0.02 ,0.01 ,0.25 ,0.35 ,0.21 ,0.12 ,0.05 ,0.01 ,0.01 
2.475653081,0.235,3.0508,3.20 ,1.36 ,0.54 ,0.03 ,0.03 ,0.01 ,0.06 ,0.05 ,0.01 ,0.33 ,0.01 ,0.11 ,0.31 ,0.01 ,0.01 ,0.18 ,0.32 ,0.30 ,0.15 ,0.04 ,0.01 ,0.00 
6.762579147,0.155,3.3732,3.38 ,2.52 ,0.43 ,0.19 ,0.23 ,0.03 ,0.11 ,0.09 ,0.03 ,0.60 ,0.06 ,0.03 ,0.05 ,0.01 ,0.00 ,0.22 ,0.34 ,0.24 ,0.14 ,0.05 ,0.01 ,0.00 
5.030843518,0.095,2.9999,3.15 ,3.00 ,0.90 ,0.04 ,0.02 ,0.02 ,0.15 ,0.11 ,0.01 ,0.34 ,0.05 ,0.11 ,0.13 ,0.03 ,0.01 ,0.22 ,0.33 ,0.20 ,0.14 ,0.07 ,0.03 ,0.01 
2.629929206,0.086,2.0816,2.75 ,3.15 ,0.96 ,0.01 ,0.01 ,0.01 ,0.11 ,0.12 ,0.01 ,0.38 ,0.01 ,0.15 ,0.11 ,0.06 ,0.02 ,0.23 ,0.23 ,0.23 ,0.14 ,0.09 ,0.03 ,0.03 
2.026559255,0.092,2.548,2.28 ,2.63 ,0.98 ,0.00 ,0.01 ,0.01 ,0.22 ,0.13 ,0.01 ,0.39 ,0.03 ,0.03 ,0.12 ,0.02 ,0.02 ,0.27 ,0.24 ,0.18 ,0.12 ,0.13 ,0.02 ,0.01 
10.38613311,0.219,4.7891,3.16 ,1.80 ,0.55 ,0.17 ,0.10 ,0.05 ,0.13 ,0.09 ,0.02 ,0.49 ,0.04 ,0.05 ,0.11 ,0.01 ,0.01 ,0.21 ,0.35 ,0.23 ,0.14 ,0.05 ,0.01 ,0.00 
1.764958711,0.156,1.8904,2.49 ,1.38 ,0.89 ,0.02 ,0.01 ,0.02 ,0.06 ,0.07 ,0.00 ,0.16 ,0.01 ,0.14 ,0.28 ,0.02 ,0.00 ,0.22 ,0.37 ,0.19 ,0.13 ,0.06 ,0.03 ,0.00 
5.688860867,0.134,2.4401,3.30 ,2.48 ,0.83 ,0.06 ,0.02 ,0.02 ,0.10 ,0.11 ,0.01 ,0.46 ,0.05 ,0.10 ,0.10 ,0.02 ,0.02 ,0.24 ,0.31 ,0.22 ,0.13 ,0.06 ,0.02 ,0.01 
5.21119978,0.099,2.3306,2.80 ,2.60 ,0.90 ,0.01 ,0.00 ,0.01 ,0.19 ,0.12 ,0.01 ,0.24 ,0.06 ,0.08 ,0.21 ,0.05 ,0.01 ,0.20 ,0.26 ,0.21 ,0.16 ,0.10 ,0.04 ,0.01 
2.668888318,0.1,3.2597,3.42 ,4.87 ,0.35 ,0.31 ,0.13 ,0.08 ,0.15 ,0.16 ,0.01 ,0.54 ,0.02 ,0.01 ,0.02 ,0.02 ,0.01 ,0.22 ,0.30 ,0.22 ,0.14 ,0.07 ,0.02 ,0.01 
3.902029055,0.093,2.0429,2.65 ,2.40 ,0.97 ,0.00 ,0.00 ,0.00 ,0.19 ,0.14 ,0.02 ,0.31 ,0.02 ,0.07 ,0.17 ,0.04 ,0.03 ,0.23 ,0.28 ,0.19 ,0.14 ,0.10 ,0.02 ,0.01 
2.460493815,0.071,2.4781,3.07 ,2.53 ,0.77 ,0.00 ,0.01 ,0.01 ,0.14 ,0.14 ,0.02 ,0.26 ,0.03 ,0.10 ,0.22 ,0.02 ,0.00 ,0.22 ,0.29 ,0.17 ,0.15 ,0.12 ,0.03 ,0.01 
2.826307003,0.053,2.6725,2.97 ,3.70 ,0.71 ,0.02 ,0.02 ,0.02 ,0.14 ,0.13 ,0.00 ,0.20 ,0.04 ,0.11 ,0.22 ,0.02 ,0.00 ,0.20 ,0.27 ,0.25 ,0.14 ,0.09 ,0.03 ,0.01 
6.978801713,0.251,2.4697,2.70 ,1.20 ,0.89 ,0.03 ,0.03 ,0.02 ,0.08 ,0.03 ,0.01 ,0.43 ,0.00 ,0.04 ,0.17 ,0.01 ,0.01 ,0.21 ,0.35 ,0.27 ,0.12 ,0.03 ,0.01 ,0.00 
6.961432701,0.111,5.7824,3.35 ,2.70 ,0.73 ,0.11 ,0.06 ,0.07 ,0.17 ,0.12 ,0.01 ,0.45 ,0.06 ,0.07 ,0.08 ,0.02 ,0.00 ,0.22 ,0.33 ,0.23 ,0.12 ,0.06 ,0.01 ,0.01 
3.061212834,0.054,5.3409,3.50 ,5.25 ,0.83 ,0.01 ,0.03 ,0.00 ,0.17 ,0.13 ,0.01 ,0.28 ,0.04 ,0.08 ,0.21 ,0.04 ,0.00 ,0.17 ,0.28 ,0.19 ,0.21 ,0.07 ,0.05 ,0.01 
4.358499073,0.077,2.9841,3.31 ,3.34 ,0.97 ,0.00 ,0.00 ,0.00 ,0.15 ,0.12 ,0.01 ,0.42 ,0.04 ,0.05 ,0.11 ,0.04 ,0.00 ,0.24 ,0.31 ,0.18 ,0.15 ,0.08 ,0.02 ,0.02 
3.001311627,0.108,2.0425,2.57 ,1.54 ,0.87 ,0.03 ,0.03 ,0.01 ,0.10 ,0.07 ,0.03 ,0.22 ,0.07 ,0.14 ,0.25 ,0.03 ,0.03 ,0.23 ,0.26 ,0.28 ,0.13 ,0.05 ,0.02 ,0.01 
5.009386489,0.178,3.4577,2.99 ,1.60 ,0.81 ,0.06 ,0.06 ,0.01 ,0.10 ,0.08 ,0.01 ,0.60 ,0.02 ,0.03 ,0.12 ,0.01 ,0.00 ,0.21 ,0.38 ,0.24 ,0.12 ,0.04 ,0.01 ,0.00 
10.35958032,0.11,2.6765,2.54 ,2.43 ,0.94 ,0.00 ,0.00 ,0.01 ,0.12 ,0.14 ,0.02 ,0.21 ,0.06 ,0.06 ,0.23 ,0.04 ,0.01 ,0.25 ,0.31 ,0.17 ,0.12 ,0.09 ,0.03 ,0.01 
2.299052986,0.112,1.794,2.66 ,1.88 ,0.94 ,0.00 ,0.01 ,0.02 ,0.16 ,0.10 ,0.01 ,0.29 ,0.03 ,0.07 ,0.21 ,0.05 ,0.00 ,0.23 ,0.33 ,0.20 ,0.14 ,0.04 ,0.04 ,0.01 
8.000552195,0.19,2.3815,2.62 ,1.33 ,0.97 ,0.00 ,0.00 ,0.00 ,0.08 ,0.05 ,0.01 ,0.39 ,0.08 ,0.12 ,0.19 ,0.02 ,0.00 ,0.23 ,0.31 ,0.26 ,0.12 ,0.05 ,0.02 ,0.01 
4.600525988,0.079,3.1739,3.29 ,3.52 ,0.78 ,0.07 ,0.05 ,0.04 ,0.16 ,0.11 ,0.02 ,0.32 ,0.06 ,0.07 ,0.13 ,0.02 ,0.00 ,0.21 ,0.31 ,0.21 ,0.15 ,0.08 ,0.03 ,0.00 
3.51251386,0.081,2.4248,2.91 ,1.96 ,0.82 ,0.00 ,0.01 ,0.00 ,0.15 ,0.09 ,0.01 ,0.18 ,0.01 ,0.13 ,0.28 ,0.06 ,0.00 ,0.20 ,0.25 ,0.20 ,0.15 ,0.12 ,0.04 ,0.03 
2.652923446,0.106,1.8671,2.87 ,2.59 ,0.97 ,0.00 ,0.00 ,0.01 ,0.10 ,0.09 ,0.00 ,0.22 ,0.06 ,0.12 ,0.29 ,0.08 ,0.00 ,0.22 ,0.26 ,0.14 ,0.16 ,0.11 ,0.09 ,0.01 
4.160984163,0.101,2.4937,2.81 ,2.63 ,0.96 ,0.01 ,0.01 ,0.01 ,0.11 ,0.14 ,0.02 ,0.34 ,0.03 ,0.10 ,0.23 ,0.02 ,0.02 ,0.23 ,0.31 ,0.22 ,0.13 ,0.06 ,0.02 ,0.01 
3.581157748,0.144,2.5336,2.73 ,1.60 ,0.93 ,0.01 ,0.02 ,0.01 ,0.10 ,0.08 ,0.01 ,0.49 ,0.04 ,0.04 ,0.19 ,0.03 ,0.00 ,0.23 ,0.35 ,0.22 ,0.13 ,0.06 ,0.02 ,0.01 
2.123693699,0.097,5.1844,2.92 ,2.01 ,0.16 ,0.00 ,0.00 ,0.00 ,0.17 ,0.15 ,0.01 ,0.47 ,0.00 ,0.07 ,0.08 ,0.02 ,0.00 ,0.28 ,0.35 ,0.19 ,0.12 ,0.04 ,0.03 ,0.00 
2.747855623,0.09,4.1153,2.90 ,2.03 ,0.97 ,0.01 ,0.01 ,0.02 ,0.16 ,0.10 ,0.01 ,0.38 ,0.01 ,0.10 ,0.17 ,0.03 ,0.01 ,0.27 ,0.32 ,0.20 ,0.11 ,0.05 ,0.03 ,0.01 
2.05361003,0.126,1.9464,2.73 ,1.53 ,0.99 ,0.00 ,0.00 ,0.00 ,0.15 ,0.09 ,0.01 ,0.33 ,0.03 ,0.08 ,0.25 ,0.03 ,0.01 ,0.24 ,0.35 ,0.21 ,0.12 ,0.05 ,0.02 ,0.01 
4.979708392,0.163,3.3019,2.85 ,1.99 ,0.74 ,0.06 ,0.01 ,0.01 ,0.14 ,0.09 ,0.01 ,0.41 ,0.05 ,0.04 ,0.20 ,0.02 ,0.00 ,0.22 ,0.31 ,0.24 ,0.12 ,0.07 ,0.02 ,0.00 
8.211262007,0.199,3.501,2.84 ,1.45 ,0.58 ,0.11 ,0.06 ,0.08 ,0.11 ,0.09 ,0.02 ,0.54 ,0.02 ,0.04 ,0.08 ,0.00 ,0.01 ,0.25 ,0.34 ,0.23 ,0.10 ,0.05 ,0.01 ,0.01 
6.964632247,0.136,2.0495,2.50 ,1.76 ,0.91 ,0.01 ,0.01 ,0.01 ,0.11 ,0.12 ,0.02 ,0.27 ,0.11 ,0.12 ,0.20 ,0.03 ,0.02 ,0.25 ,0.33 ,0.20 ,0.11 ,0.06 ,0.02 ,0.01 
2.652103362,0.086,1.744,2.48 ,2.20 ,0.72 ,0.03 ,0.12 ,0.01 ,0.17 ,0.13 ,0.01 ,0.30 ,0.06 ,0.12 ,0.14 ,0.03 ,0.01 ,0.28 ,0.28 ,0.20 ,0.14 ,0.06 ,0.02 ,0.01 
5.719023011,0.193,2.038,2.74 ,1.37 ,0.69 ,0.05 ,0.16 ,0.03 ,0.11 ,0.07 ,0.02 ,0.47 ,0.05 ,0.09 ,0.13 ,0.01 ,0.01 ,0.26 ,0.32 ,0.23 ,0.12 ,0.05 ,0.02 ,0.00 
3.667933291,0.093,4.803,3.50 ,4.00 ,0.56 ,0.10 ,0.09 ,0.06 ,0.14 ,0.08 ,0.01 ,0.44 ,0.05 ,0.06 ,0.14 ,0.02 ,0.00 ,0.19 ,0.28 ,0.25 ,0.18 ,0.08 ,0.01 ,0.01 
2.311574149,0.168,2.3415,2.35 ,1.09 ,0.84 ,0.00 ,0.08 ,0.02 ,0.05 ,0.04 ,0.01 ,0.27 ,0.02 ,0.07 ,0.31 ,0.03 ,0.00 ,0.25 ,0.35 ,0.19 ,0.12 ,0.06 ,0.02 ,0.00 
4.959876817,0.156,3.6513,2.99 ,1.91 ,0.80 ,0.06 ,0.06 ,0.05 ,0.09 ,0.09 ,0.02 ,0.46 ,0.08 ,0.07 ,0.17 ,0.01 ,0.01 ,0.24 ,0.29 ,0.25 ,0.14 ,0.07 ,0.01 ,0.00 
7.57117475,0.148,2.5236,2.92 ,1.80 ,0.92 ,0.02 ,0.01 ,0.02 ,0.09 ,0.07 ,0.02 ,0.38 ,0.01 ,0.05 ,0.25 ,0.02 ,0.02 ,0.23 ,0.30 ,0.22 ,0.14 ,0.06 ,0.02 ,0.01 
9.250461126,0.134,3.1681,3.14 ,2.20 ,0.85 ,0.04 ,0.03 ,0.01 ,0.12 ,0.09 ,0.01 ,0.39 ,0.02 ,0.07 ,0.15 ,0.02 ,0.00 ,0.19 ,0.33 ,0.24 ,0.14 ,0.07 ,0.02 ,0.01 
5.893836108,0.114,5.8501,3.39 ,3.00 ,0.63 ,0.12 ,0.08 ,0.06 ,0.12 ,0.10 ,0.01 ,0.25 ,0.15 ,0.19 ,0.09 ,0.01 ,0.00 ,0.21 ,0.31 ,0.27 ,0.14 ,0.06 ,0.01 ,0.00 
3.803888419,0.186,1.6306,2.59 ,1.27 ,0.98 ,0.00 ,0.01 ,0.01 ,0.10 ,0.12 ,0.02 ,0.33 ,0.01 ,0.09 ,0.29 ,0.02 ,0.00 ,0.22 ,0.30 ,0.27 ,0.14 ,0.05 ,0.02 ,0.01 
4.172120419,0.124,2.9423,2.67 ,2.09 ,0.87 ,0.01 ,0.03 ,0.03 ,0.21 ,0.13 ,0.03 ,0.40 ,0.05 ,0.03 ,0.09 ,0.02 ,0.02 ,0.28 ,0.30 ,0.24 ,0.10 ,0.04 ,0.01 ,0.01 
3.276535583,0.067,4.2951,3.47 ,4.17 ,0.84 ,0.06 ,0.03 ,0.02 ,0.13 ,0.11 ,0.01 ,0.33 ,0.05 ,0.12 ,0.16 ,0.03 ,0.00 ,0.25 ,0.30 ,0.21 ,0.12 ,0.07 ,0.03 ,0.01 
0.918969464,0.057,3.1574,3.83 ,2.15 ,0.96 ,0.00 ,0.02 ,0.00 ,0.18 ,0.07 ,0.02 ,0.30 ,0.02 ,0.11 ,0.07 ,0.14 ,0.00 ,0.25 ,0.30 ,0.19 ,0.09 ,0.04 ,0.07 ,0.07 
